Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
138058.95,1459.33,539.62,333.67,0.68,0.92,143275.89,421.09,1.87,-0.54,0.38,BOMBAY
141852.19,1431.46,524.24,350.0,1.72,1.09,143679.69,424.05,1.34,2.86,0.19,BOMBAY
140963.9,1427.19,539.13,334.36,0.18,-0.24,142172.39,423.83,2.37,0.37,0.31,BOMBAY
133759.92,1368.33,481.04,354.14,2.47,0.56,135151.07,413.12,1.03,0.16,0.73,BOMBAY
140313.83,1432.76,517.51,348.78,2.55,1.42,141965.64,422.72,-0.3,0.87,0.76,BOMBAY
139522.83,1411.1,501.77,354.31,1.37,-0.83,140890.64,420.36,0.47,1.11,0.93,BOMBAY
138658.37,1415.84,509.69,346.64,3.03,1.29,139825.38,421.29,1.48,1.24,1.07,BOMBAY
135220.61,1372.39,496.71,350.91,1.64,0.12,136190.82,414.19,0.28,0.17,1.31,BOMBAY
134251.2,1391.07,523.92,328.1,3.82,-0.12,135408.79,412.3,-0.12,0.74,1.09,BOMBAY
138112.65,1368.13,482.4,362.53,0.94,0.79,139490.9,419.23,0.27,0.38,1.85,BOMBAY
142398.33,1429.14,525.02,346.91,-1.33,0.56,143782.09,426.67,1.86,1.75,0.24,BOMBAY
144078.11,1462.09,533.87,345.64,2.85,2.23,146416.2,429.57,0.6,-0.88,0.08,BOMBAY
139685.35,1400.77,509.34,350.4,1.8,2.47,141091.68,420.22,0.63,1.07,0.13,BOMBAY
135898.94,1386.02,507.7,341.39,1.88,-0.26,137536.53,416.09,1.11,2.78,0.56,BOMBAY
137360.67,1365.4,507.74,346.51,1.11,2.07,138092.07,418.89,1.96,0.26,1.67,BOMBAY
132889.35,1371.55,501.39,341.71,-1.62,1.01,134323.9,411.08,0.44,0.74,2.51,BOMBAY
114004.24,1279.36,453.22,322.82,3.04,-1.46,115295.96,381.71,-0.27,0.22,-0.88,BOMBAY
138266.15,1393.62,513.26,344.13,1.9,0.22,139740.81,418.99,-1.36,0.73,-0.11,BOMBAY
139639.56,1380.12,474.91,376.41,2.68,1.71,140541.91,419.69,1.97,1.44,-0.61,BOMBAY
138776.21,1403.17,502.2,352.79,0.19,-0.51,140144.52,421.11,-0.59,-0.23,1.15,BOMBAY
144057.65,1461.26,534.36,344.9,0.23,0.33,145732.19,428.68,1.2,0.47,0.54,BOMBAY
132850.51,1369.78,511.37,334.29,0.91,2.11,134465.28,411.65,-0.67,0.9,-0.82,BOMBAY
142591.11,1409.28,520.13,351.72,2.48,2.41,144326.17,426.53,0.56,1.97,-0.3,BOMBAY
132850.44,1368.67,512.07,331.65,1.26,2.63,134466.97,410.11,0.89,0.8,0.79,BOMBAY
139840.36,1431.09,524.01,343.32,-0.13,0.48,141672.36,421.18,-1.76,1.54,1.66,BOMBAY
133760.11,1370.16,483.26,351.41,1.45,1.33,135151.53,412.71,0.79,0.09,3.23,BOMBAY
128118.9,1360.93,503.6,325.91,1.76,2.08,129274.89,405.08,0.78,1.28,0.78,BOMBAY
131487.14,1367.04,484.56,346.1,2.21,-0.21,132903.32,409.15,2.13,1.01,1.38,BOMBAY
137888.15,1410.54,521.34,338.35,-0.32,0.39,139208.19,418.94,1.19,-0.16,1.1,BOMBAY
141519.35,1442.86,522.75,347.44,1.11,1.34,143783.69,424.06,-0.41,1.07,1.2,BOMBAY
137075.03,1435.1,528.49,335.15,1.62,2.42,139516.65,417.91,2.15,0.63,-1.29,BOMBAY
134250.95,1392.28,525.25,327.59,1.29,1.44,135410.46,414.13,0.91,0.76,1.72,BOMBAY
114004.32,1278.46,452.55,323.21,2.57,1.6,115296.37,381.9,2.57,1.21,0.56,BOMBAY
132253.1,1357.83,497.31,340.44,2.53,1.03,133553.7,412.5,-0.23,0.85,1.77,BOMBAY
131489.28,1367.27,485.28,343.49,-0.27,2.53,132905.84,409.55,-1.04,1.21,0.38,BOMBAY
134011.09,1387.61,517.35,332.16,2.4,-1.8,135500.24,413.14,-1.0,-0.91,-0.65,BOMBAY
126500.5,1326.8,474.21,339.15,0.7,0.17,128221.18,399.28,-0.01,1.09,0.71,BOMBAY
142237.62,1427.14,517.18,351.87,0.17,0.56,143764.36,424.71,0.55,1.22,1.43,BOMBAY
