SepalLength,SepalWidth,PetalLength,PetalWidth,Species
6.54,2.52,5.47,1.59,Iris-virginica
6.26,3.13,5.31,2.53,Iris-virginica
6.92,3.09,5.42,2.1,Iris-virginica
6.66,3.79,5.5,2.07,Iris-virginica
5.76,3.22,5.41,2.47,Iris-virginica
7.46,3.13,6.28,2.29,Iris-virginica
6.82,3.03,5.53,1.77,Iris-virginica
6.36,3.29,5.26,2.39,Iris-virginica
5.38,2.6,4.16,1.75,Iris-virginica
6.33,2.89,4.82,1.76,Iris-virginica
6.1,2.43,4.95,2.15,Iris-virginica
6.53,3.25,5.58,2.39,Iris-virginica
6.47,3.37,5.49,1.86,Iris-virginica
5.47,2.62,5.04,1.81,Iris-virginica
6.46,3.3,5.67,2.11,Iris-virginica
7.34,3.31,6.45,1.96,Iris-virginica
7.33,2.96,6.06,1.96,Iris-virginica
6.65,3.39,5.98,1.84,Iris-virginica
6.31,3.01,5.52,2.07,Iris-virginica
6.69,3.28,5.81,2.54,Iris-virginica
6.81,3.06,6.05,2.22,Iris-virginica
7.25,2.86,6.19,1.84,Iris-virginica
6.8,2.85,5.79,1.83,Iris-virginica
6.07,3.0,4.91,1.91,Iris-virginica
5.8,2.76,4.98,1.47,Iris-virginica
7.53,3.52,5.87,2.53,Iris-virginica
6.53,3.14,5.76,2.42,Iris-virginica
7.57,3.07,6.65,2.0,Iris-virginica
6.83,2.91,5.9,2.01,Iris-virginica
6.73,2.51,5.49,1.94,Iris-virginica
6.44,3.24,6.23,2.31,Iris-virginica
6.57,2.63,5.49,1.77,Iris-virginica
6.82,2.98,6.0,2.11,Iris-virginica
6.37,2.67,5.29,1.65,Iris-virginica
6.45,2.59,5.22,1.81,Iris-virginica
7.26,3.23,6.22,2.15,Iris-virginica
6.44,3.39,5.7,2.26,Iris-virginica
7.71,3.8,6.64,1.97,Iris-virginica
5.92,2.71,5.12,1.65,Iris-virginica
6.83,2.65,5.85,2.46,Iris-virginica
6.92,3.11,5.53,1.88,Iris-virginica
6.46,3.54,5.46,2.44,Iris-virginica
5.84,2.55,4.99,1.72,Iris-virginica
6.96,2.35,6.09,1.61,Iris-virginica
6.51,2.93,5.99,2.11,Iris-virginica
6.7,2.41,5.73,1.99,Iris-virginica
6.51,2.98,5.27,1.82,Iris-virginica
5.83,2.67,5.01,2.03,Iris-virginica
5.0,2.76,4.42,1.96,Iris-virginica
6.09,2.68,5.05,2.54,Iris-virginica
5.18,2.47,4.8,1.69,Iris-virginica
6.34,3.13,4.73,1.72,Iris-virginica
6.44,2.46,5.67,1.64,Iris-virginica
5.77,2.58,4.83,1.92,Iris-virginica
6.86,2.83,5.91,2.14,Iris-virginica
6.42,2.68,5.54,1.86,Iris-virginica
6.4,3.25,5.25,2.13,Iris-virginica
5.94,2.93,5.54,1.63,Iris-virginica
5.95,2.1,5.26,1.82,Iris-virginica
5.51,2.61,4.89,1.87,Iris-virginica
6.89,3.0,5.72,1.52,Iris-virginica
6.12,2.73,5.15,1.98,Iris-virginica
6.2,2.61,5.12,1.92,Iris-virginica
6.01,2.28,4.89,2.01,Iris-virginica
5.88,3.09,4.83,2.0,Iris-virginica
6.09,2.74,5.53,1.95,Iris-virginica
6.92,3.15,5.84,1.5,Iris-virginica
5.79,2.55,4.64,1.63,Iris-virginica
8.21,3.51,7.24,2.51,Iris-virginica
5.02,2.1,4.65,1.69,Iris-virginica
6.44,3.23,5.45,2.14,Iris-virginica
6.31,3.09,5.2,2.17,Iris-virginica
6.19,3.06,5.24,2.09,Iris-virginica
6.4,3.07,5.46,2.22,Iris-virginica
6.4,2.71,5.09,2.28,Iris-virginica
5.15,3.08,4.99,1.93,Iris-virginica
6.15,3.29,5.01,2.13,Iris-virginica
7.68,2.78,6.34,1.94,Iris-virginica
6.97,2.74,5.54,2.03,Iris-virginica
7.24,2.49,5.76,1.55,Iris-virginica
6.67,2.44,5.3,1.59,Iris-virginica
6.03,2.63,5.77,1.7,Iris-virginica
5.97,2.69,5.08,1.75,Iris-virginica
