Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
32020.89,692.37,121.66,32.83,-270.97,352.65,32052.07,407.87,113.36,118.23,-101.74,SEKER
29657.82,594.88,704.12,640.93,-90.91,552.68,29505.91,1282.72,739.27,580.56,-267.61,SEKER
28810.09,1780.86,-86.1,-261.38,-1425.64,-977.69,31536.13,1902.43,1537.14,-135.68,88.28,SEKER
31039.14,859.6,283.9,327.89,134.62,4.64,31437.97,82.45,121.81,116.6,284.43,SEKER
32144.66,517.72,528.86,250.52,1164.43,-47.81,32699.93,891.07,214.84,150.69,-78.03,SEKER
31788.48,171.07,-1108.44,130.67,1134.45,43.9,33194.66,547.38,-390.89,128.86,-184.14,SEKER
31973.49,662.18,115.57,214.54,-41.38,-203.8,32236.23,221.48,-14.04,20.23,-196.35,SEKER
32021.66,780.71,-47.97,508.01,90.22,67.03,31722.7,-1.78,307.48,187.97,-70.19,SEKER
31832.82,601.23,38.78,161.1,-251.16,111.13,31963.08,56.05,15.19,-29.99,-92.36,SEKER
28288.23,658.76,169.73,278.66,-104.82,-89.05,28613.9,166.59,78.38,14.41,-92.96,SEKER
31935.82,409.61,173.55,1175.56,-543.67,351.62,32052.52,172.48,-308.19,-127.88,146.32,SEKER
31812.64,899.2,-6.59,225.92,-16.47,53.99,32046.52,176.63,80.19,-28.46,219.91,SEKER
32191.06,691.2,333.78,206.05,89.64,-68.83,32711.99,375.39,224.66,21.05,98.06,SEKER
31816.66,972.27,405.76,-31.37,-206.17,40.48,32608.38,369.36,-151.77,642.34,110.55,SEKER
32191.5,-413.42,864.88,91.31,-258.09,-713.27,33222.88,713.91,-387.45,-581.92,-609.35,SEKER
30050.12,669.12,-1135.74,1293.09,-1147.66,-983.73,32380.71,2104.27,898.96,453.84,-323.38,SEKER
32404.28,673.93,312.23,41.66,-149.76,-46.48,32212.92,195.16,-30.79,18.37,-0.19,SEKER
31573.07,579.51,234.77,212.08,-104.13,108.72,31648.42,4.98,161.14,348.74,99.35,SEKER
30294.4,693.97,37.98,176.93,280.8,305.61,31106.91,89.57,237.18,-195.26,-182.71,SEKER
32228.85,175.24,632.73,-243.15,-855.02,-547.1,33429.66,370.43,522.0,544.36,475.48,SEKER
32189.97,806.55,41.71,269.02,26.91,-444.98,32253.95,400.45,-69.26,-136.75,38.44,SEKER
