Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Class
56431.01,-1474.89,3425.67,1549.25,1306.53,682.48,57795.85,777.39,2314.65,-398.7,1413.65,CALI
56880.84,503.26,1549.18,-231.58,-1525.86,974.13,59782.76,729.89,-3076.01,-689.78,1381.25,CALI
55502.58,1849.7,-249.07,247.48,423.1,724.81,56698.05,1057.64,-783.29,1130.87,496.9,CALI
59021.81,781.17,-1279.11,344.02,-644.35,-370.37,58984.8,687.17,-124.39,71.51,772.41,CALI
57023.82,679.85,-230.9,274.07,-48.56,355.11,57627.0,400.37,178.69,-128.61,-87.1,CALI
57332.33,850.85,141.03,875.92,-781.61,463.28,56514.74,69.88,788.45,816.81,-87.97,CALI
59539.14,730.18,-439.87,423.44,699.9,411.32,60669.7,-789.92,412.96,154.0,1506.21,CALI
63966.67,-2857.29,-4057.0,9001.41,12081.98,835.5,44886.77,-1597.25,-129.72,8717.84,7521.39,CALI
55140.47,1676.97,1140.5,1452.56,-197.62,49.1,58499.67,1443.7,1338.64,-2396.0,342.41,CALI
58745.14,1321.89,478.61,142.46,-70.93,84.47,60279.63,269.97,-363.38,-152.96,-6.44,CALI
58900.46,1483.63,2062.42,114.37,-207.23,-903.31,60605.07,222.18,-3301.25,-1080.73,-1829.23,CALI
53034.69,790.23,739.87,-130.23,-1804.63,535.09,55306.78,322.38,782.36,-1239.17,-559.44,CALI
57580.04,788.92,-1131.6,47.84,-235.44,-244.4,60448.93,2293.69,-203.87,663.74,822.21,CALI
54412.04,720.97,240.08,-253.49,90.46,1018.91,54007.48,-549.86,48.1,162.89,-698.68,CALI
58284.83,2755.86,241.05,1386.98,2123.29,-1354.96,63084.33,-357.15,346.61,240.22,1460.34,CALI
58758.97,427.24,-146.58,-629.83,-515.4,-1112.27,60025.21,1825.54,715.4,-837.0,63.08,CALI
59339.66,1307.13,-208.18,88.66,495.91,1066.83,61770.79,-2627.88,550.22,972.87,-1021.49,CALI
58563.78,1259.52,-884.08,-1041.77,7.03,-1469.87,60943.49,1072.65,-393.05,376.52,361.34,CALI
58004.54,1444.82,349.76,-934.85,-363.75,1062.42,60457.15,-849.53,425.49,509.6,-255.25,CALI
57646.73,1358.23,1298.51,-797.62,-289.25,854.37,58228.49,52.82,880.95,-333.82,-590.44,CALI
57774.75,828.37,338.44,767.92,930.17,-151.77,59612.42,53.72,-1676.32,1184.26,-1060.26,CALI
56830.34,1046.52,59.11,169.57,198.86,373.6,57454.25,895.54,-87.17,554.73,-96.17,CALI
56928.37,506.82,765.96,337.75,340.21,82.94,57454.86,493.86,542.22,-395.31,-218.65,CALI
55414.52,1331.01,-243.02,1373.57,147.4,379.74,55026.9,59.96,97.69,-358.57,-808.17,CALI
58066.45,1953.21,-766.56,-584.69,652.28,1358.48,58506.14,423.88,292.45,748.31,-1119.84,CALI
60051.12,2102.69,10.87,56.58,45.25,-1028.24,60478.52,1483.48,891.85,-530.27,-480.37,CALI
57893.57,-152.52,912.64,-122.29,496.08,108.39,59712.59,-514.48,-741.61,-926.0,-394.86,CALI
56600.46,1151.45,73.34,670.61,-587.21,-9.98,57595.65,-557.72,-2.85,217.27,-316.36,CALI
59136.93,1634.04,-1449.83,1942.22,-281.42,-1023.15,60503.86,-1423.74,-1943.02,-830.29,641.13,CALI
53972.27,401.36,-1096.46,-580.78,682.62,-838.3,54749.74,691.9,1470.49,722.18,325.27,CALI
57217.79,1281.45,-572.19,452.38,152.42,423.71,57702.86,-246.8,-21.22,-361.01,-552.31,CALI
59577.05,1271.05,616.38,641.18,277.18,-8.34,59323.16,426.51,-1.99,122.0,-58.99,CALI
55887.79,-2024.25,-111.95,964.13,-1189.62,-4.05,55508.48,1404.81,1928.72,-196.12,-2043.53,CALI
55606.53,74.73,-2841.21,1701.55,3635.89,-1312.69,59374.25,-1973.98,2034.27,278.8,-1725.12,CALI
57946.61,799.31,2215.42,2824.86,533.19,1695.67,58630.35,1950.42,-211.91,914.38,-2256.99,CALI
56110.93,817.48,113.68,104.57,71.96,-254.9,56895.53,-165.85,98.53,-199.56,-156.48,CALI
55513.28,-357.25,1253.42,-364.9,-987.98,-629.93,55571.68,541.2,-251.18,-231.3,-499.22,CALI
54322.24,709.82,-239.25,-148.57,724.19,488.41,55530.63,674.71,-1268.16,-1467.86,225.64,CALI
59134.56,1911.66,-346.66,-1507.08,872.48,263.11,60639.1,1123.13,181.18,-492.62,-639.44,CALI
55745.55,-657.6,356.81,-201.95,701.79,291.89,55769.24,1308.87,527.48,54.92,450.59,CALI
54068.2,1861.03,424.47,-96.35,-195.24,-61.59,55452.65,739.58,-695.46,-307.59,387.7,CALI
53394.47,722.74,-470.06,1161.65,-488.39,689.25,55047.5,-864.87,-1195.87,254.49,928.22,CALI
58400.09,1169.06,1276.63,103.26,126.39,648.84,58437.7,-475.22,39.63,581.04,496.42,CALI
55034.1,323.35,-173.78,1071.7,-201.33,780.76,57046.26,-263.07,-963.4,586.03,-135.45,CALI
59110.16,110.85,1713.1,-2115.56,-899.54,92.37,59050.39,-3010.25,1562.22,113.85,2338.38,CALI
57483.11,1042.34,28.13,283.49,-710.65,-250.39,58745.4,387.31,662.61,-431.22,660.85,CALI
59969.05,-518.97,1326.39,-779.41,161.66,-298.22,60290.33,676.06,-1158.13,1070.24,-60.9,CALI
57275.49,143.04,260.87,539.02,-411.27,207.77,56500.81,114.86,-1093.36,1862.92,-461.14,CALI
